#eighty|h ˈæ ʃ ˈeɪ ɾ i
#three|h ˈæ ʃ θ ɹ ˈiː
&|ˈæ n d
'aqara|æ k ˈɑːɹ ɹ ə
'aqarabu|ˌæ k ɐ ɹ ˈɑː b uː
'aqarebaa|ˈæ k ɛɹ b ˌɑː
'aqebo|æ k ˈiː b oʊ
'aqemaacawe|ˈeɪ k m ɑː k ˌɔː
'aqemaacene|ˈeɪ k m ɑː s ˌiː n
'aqeme|ˈeɪ k iː m
'aqemu|ˈeɪ k m uː
'aqereba|ˌæ k ɚ ɹ ˈɛ b ə
'aqerebaa|ˈæ k ɚ ɹ ˌɛ b ɑː
'aqerebawe|ˈæ k ɚ ɹ ˌɛ b ɔː
'aqerebee|ˈæ k ɚ ɹ ˌɛ b iː
'aqerebo|ˌæ k ɚ ɹ ˈiː b oʊ
'aqerebwa|ˈæ k ɚ ɹ ˌɛ b w ə
'aqethaachaa|ˈæ k ɪ θ ˌɑː tʃ ɑː
'aqu|ˈɑː k
'aqume|ɐ k w ə m ˈɛ
'aqumo|ɐ k w ə m ˈoʊ
'aqumu|ɐ k w ə m ˈuː
'aqwaamaacawe|ˈæ k w ɑː m ˌɑː k ɔː
'aqwaamaacene|ˈæ k w ɑː m ˌɑː s iː n
'aqwaame|ˈæ k w ɑː m
'aqwaamoce|ˈæ k w ɑː m ˌoʊ s
'aqwaamu|ˈæ k w ɑː m ˌuː
'aqwaamwa|ˈæ k w ɑː m w ə
'aqwaaqu|ˈæ k w ɑː k
'aqwaarethawe|æ k w ˈɑːɹ ɹ ɪ θ ˌɔː
'aqwaaretho|æ k w ˌɑːɹ ɹ ˈɛ θ oʊ
'ara|ˈɑːɹ ɹ ə
'araamaaje|ˈæ ɹ ɑː m ˌɑː dʒ
'araamaajoce|ˈæ ɹ ɑː m ˌɑː dʒ oʊ s
'araapemoye|ˌæ ɹ ɑː p ɪ m ˈɔɪ
'araatanyaawe|ˈæ ɹ ɑː t ˌæ n ɪ  ˌɑː w
'araate|ˈæ ɹ ɑː t
'araatu|ˈæ ɹ ɑː t ˌuː
'arada|æ ɹ ˈɑː d ə
'arafa|æ ɹ ˈɑː f ə
'arafu|æ ɹ ˈɑː f uː
'aragaa|ˈæ ɹ ɐ ɡ ˌɑː
'aragaaweyaane|ˈæ ɹ ɐ ɡ ˌɑː w aɪ  ˌɑː n
'aragazeku|ˈæ ɹ ɐ ɡ ˌeɪ z k uː
'aramaamade|ˈæ ɹ ɐ m ˌɑː m eɪ d
'arbitrary'|ˈɑːɹ b ɪ t ɹ ˌɛ ɹ i
'are|ˈɑːɹ
'are'ayaa|ˈæ ɹ ɪ  ˌeɪ ɑː
'arebaa|ˈæ ɹ ɪ b ˌɑː
'arebanyoce|ˈæ ɹ ɪ b ˌæ n ɪ  ˌoʊ s
'arebe|ˈæ ɹ ɛ b
'arebitere|ˈæ ɹ ɪ b ˌɪ ɾ ɚ
'arebiteroce|ˌæ ɹ ɪ b ˈɪ ɾ ɚ ɹ ˌoʊ s
'arebiteru|ˈæ ɹ ɪ b ˌɪ ɾ ɚ ɹ ˌuː
'aree|ˈæ ɹ iː
'arefaa|ˈæ ɹ ɪ f ˌɑː
'aregaa|ˈæ ɹ ɪ ɡ ˌɑː
'arege|ˈæ ɹ ɛ dʒ
'arejanetinaa|ˈæ ɹ ɪ dʒ ˌæ n ɪ t ˌɪ n ɑː
'areqo|æ ɹ ˈiː k oʊ
'aresanaale|ˈæ ɹ ɪ s ˌæ n ɑː l
'areso|æ ɹ ˈiː s oʊ
'arete|ˈæ ɹ iː t
'aretisete|ˈæ ɹ ɪ t ˌaɪ s iː t
'arm|ˈɑːɹ m
'army'|ˈɑːɹ m i
'aro|ˈæ ɹ oʊ
'arogee|ˈæ ɹ oʊ dʒ ˌiː
'arusi|ˈæ ɹ uː s i
'as|ˈæ z
'asaa|ɐ s ˈɑː
'asaade|ɐ s ˈɑː d
'asaadega|ɐ s ˈɑː d ɛ ɡ ə
'asaadegwa|ɐ s ˈɑː d ɛ ɡ w ə
'asaalefa|ɐ s ˈɑː l ɛ f ə
'asaalefaa|ɐ s ˈɑː l ɪ f ˌɑː
'asaalefawe|ɐ s ˈɑː l ɪ f ˌɔː
'asaalefo|ɐ s ɑː l ˈiː f oʊ
'asaamena|ɐ s ɑː m ˈiː n ə
'asaasaabi|ɐ s ˈɑː s ɑː b ˌaɪ
'asaasaba|ɐ s ɑː s ˈɑː b ə
'asaasebwa|ɐ s ˈɑː s ɛ b w ə
'asaataafi|ɐ s ˈɑː ɾ ɑː f i
'asaataami|ɐ s ˈɑː ɾ ɑː m i
'asaawe|ɐ s ˈɑː w
'asaaweqaa|ɐ s ˈɑː w ɪ k ˌɑː
'asaaye|ɐ s ˈɑː aɪ
'asaayeta|ɐ s ˈɑː j ɛ ɾ ə
'asaayeto|ɐ s ɑː j ˈiː ɾ oʊ
'asaazaanye|ɐ s ˈɑː z ɑː n ˌaɪ
'asaazenwa|ɐ s ˈɑː z ɛ n w ə
'asabaa|ɐ s ˈæ b ɑː
'asabaasaabi|ɐ s ˈæ b ɑː s ˌɑː b aɪ
'asabe|ɐ s ˈeɪ b
'asaleci|ˈeɪ z eɪ l s ˌaɪ
'asalethaa|ˈeɪ z ɐ l ˌɛ θ ɑː
'asalethaanye|ˈeɪ z ɐ l ˌɛ θ ɑː n ˌaɪ
'asalethaanyoce|ˈeɪ z ɐ l ˌɛ θ ɑː n ɪ  ˌoʊ s
'asalethaanyu|ˈeɪ z ɐ l ˌɛ θ ɑː n ɪ  ˌuː
'asalethe|ˈeɪ z ɐ l ˌɛ ð
'asamaa|ɐ s ˈæ m ɑː
'asamaaraa|ɐ s ɐ m ˈɑːɹ ɹ ɑː
'asamu|ɐ s ˈɑː m uː
'asap|ˌeɪ ˌɛ s ˌeɪ p ˈiː
'asaqaaqi|ɐ s ˈæ k ɑː k i
'asaqaayetawe|ɐ s ˈæ k ɑː j ˌɛ ɾ ɔː
'asara|ɐ s ˈɑːɹ ɹ ə
'asaraare|ɐ s ɐ ɹ ˈɑːɹ
'asaraaru|ɐ s ɐ ɹ ˈɑːɹ ɹ uː
'asare|ɐ s ˈɛɹ
'asari|ɐ s ˈɑːɹ ɹ i
'ase|ˈæ s
'asebawe|ˈæ s ɪ b ˌɔː
'asebe|ˈæ s ɛ b
'asebee|ˈæ s ɪ b ˌiː
'asebo|æ s ˈiː b oʊ
'asecagaari|ˌæ s ɪ k ɐ ɡ ˈɑːɹ ɹ i
'asecagara|ˌæ s ɪ k ɐ ɡ ˈɑːɹ ɹ ə
'asecage|ˈæ s ɪ k ˌeɪ dʒ
'asecakwaaye|ˈæ s ɪ k ˌæ k w ɑː ˌaɪ
'asedame|ˈæ s ɪ d ˌeɪ m
'asedanaaqi|ˈæ s ɪ d ˌæ n ɑː k i
'asedanegaache|ˈæ s ɪ d ˌeɪ ŋ ɡ ɑː tʃ
'asefaa|ˈæ s ɪ f ˌɑː
'asefaaletu|ˈæ s ɪ f ˌɑː l ɪ t ˌuː
'asefalaagi|ˈæ s ɪ f ˌæ l ɑː ɡ ˌaɪ
'asefalaagiwe|ˈæ s ɪ f ˌæ l ɑː dʒ ˌɪ w
'asefaraaraa|ˌæ s ɪ f ɐ ɹ ˈɑːɹ ɹ ɑː
'asefatsaami|ˈæ s ɪ f ˌæ t s ɑː m i
'asefatsaamiwe|ˈæ s ɪ f ˌæ t s ɑː m ˌɪ w
'asegabaa|ˈæ s ɪ ɡ ˌæ b ɑː
'asegabe|ˈæ s ɪ ɡ ˌeɪ b
'asegada|ˌæ s ɪ ɡ ˈɑː d ə
'asegadaaje|ˈæ s ɪ ɡ ˌæ d ɑː dʒ
'asegadedo|ˌæ s ɪ ɡ ɐ d ˈiː d oʊ
'asegadedwa|ˈæ s ɪ ɡ ˌeɪ d d w ə
'asegadome|ˈæ s ɪ ɡ ˌæ d oʊ m
'aseganeze|ˈæ s ɪ ɡ ˌeɪ n z
'aseganya|ˌæ s ɪ ɡ ˈæ n j ə
'asegaraami|ˈæ s ɪ ɡ ˌæ ɹ ɑː m i
'asegi|ˈæ s ɛ ɡ i
'asehabaa|ˈæ s ɪ h ˌæ b ɑː
'asekabaari|ˌæ s ɪ k ɐ b ˈɑːɹ ɹ i
'asekereene|ˈæ s ɪ k ɚ ɹ ˌiː n
'asekiyaaje|ˈæ s ɪ k ˌɪ j ɑː dʒ
'asekiyaajoce|ˈæ s ɪ k ˌɪ j ɑː dʒ ˌoʊ s
'asekiyaaju|ˈæ s ɪ k ˌɪ j ɑː dʒ ˌuː
'asemachiwoce|ˌæ s ɪ m ɐ tʃ ˈiː w oʊ s
'asemale|ˈæ s ɪ m ˌeɪ l
'asemaleketo|ˌæ s ɪ m eɪ l k ˈiː ɾ oʊ
'asemaraa|ˈæ s ɪ m ˌæ ɹ ɑː
'asemarome|ˈæ s ɪ m ˌæ ɹ oʊ m
'asemaselo|ˌæ s ɪ m ɐ z ˈiː l oʊ
'asemathaa|ˈæ s ɪ m ˌæ θ ɑː
'asenase|ˈæ s ə n ˌeɪ s
'aseqademo|ˌæ s ɪ k ɐ d ˈiː m oʊ
'aseqorethwa|ˈæ s ɪ k ˌoː ɹ ɛ θ w ə
'aseraa|ˈæ s ɚ ɹ ˌɑː
'aseraate|ˈæ s ɚ ɹ ˌɑː t
'aseradaa|ˈæ s ɚ ɹ ˌæ d ɑː
'aserade|ˈæ s ɚ ɹ ˌeɪ d
'aseradetawe|ˈæ s ɚ ɹ ˌæ d ɪ t ˌɔː
'aseradu|ˌæ s ɚ ɹ ˈɑː d uː
'aseranyaawe|ˈæ s ɚ ɹ ˌæ n ɪ  ˌɑː w
'aserawe|ˈæ s ɚ ɹ ˌɔː
'asere|ˈæ s ɚ
'aseru|ˈæ s ɚ ɹ ˌuː
'asetaatheqee|ˈæ s ɪ t ˌɑː θ ɪ k ˌiː
'asetaawaqe|ˈæ s ɪ t ˌɑː w eɪ k
'asetaawe|ˈæ s ɪ t ˌɑː w
'asetaaweqa|ˈæ s ɪ t ˌɑː w ɛ k ə
'asetaaweqaa|ˈæ s ɪ t ˌɑː w ɪ k ˌɑː
'asetaawesa|ˈæ s ɪ t ˌɑː w ɛ s ə
'asetabaa|ˈæ s ɪ t ˌæ b ɑː
'asetabaabaari|ˌæ s ɪ t ˌæ b ɑː b ˈɑːɹ ɹ i
'asetadaadaari|ˌæ s ɪ t ˌæ d ɑː d ˈɑːɹ ɹ i
'asetadaadage|ˈæ s ɪ t ˌæ d ɑː d ɪ dʒ
'asetadaadaraacawe|ˈæ s ɪ t ˌæ d ɑː d ˌæ ɹ ɑː k ˌɔː
'asetadaadaraawi|ˈæ s ɪ t ˌæ d ɑː d ˌæ ɹ ɑː w i
'asetadaadare|ˈæ s ɪ t ˌæ d ɑː d ˌɛɹ
'asetadaadaru|ˈæ s ɪ t ˌæ d ɑː d ˌɑːɹ ɹ uː
'asetalaa|ˈæ s ɪ t ˌæ l ɑː
'asetalaalafa|ˌæ s ɪ t ˌæ l ɑː l ˈɑː f ə
'asetalaalefa|ˈæ s ɪ t ˌæ l ɑː l ˌɛ f ə
'asetalaalefaa|ˈæ s ɪ t ˌæ l ɑː l ˌɛ f ɑː
'asetamaamaanye|ˈæ s ɪ t ˌæ m ɑː m ˌɑː n aɪ
'asetamaari|ˌæ s ɪ ɾ ɐ m ˈɑːɹ ɹ i
'asetamera|ˈæ s ɪ t ˌæ m ɚ ɹ ə
'asetanaagaaje|ˈæ s ɪ t ˌæ n ɑː ɡ ˌɑː dʒ
'asetanaage|ˈæ s ɪ t ˌæ n ɑː dʒ
'asetasaasaboce|ˈæ s ɪ t ˌæ s ɑː s ˌæ b oʊ s
'asetawaatse|ˈæ s ɪ t ˌæ w ɑː t s i
'asetawaatse'o|ˈæ s ɪ t ˌæ w ɑː t s ˌɛ oʊ
'asetawaaye|ˈæ s ɪ t ˌæ w ɑː ˌaɪ
'asetayaaya|ˈæ s ɪ t ˌeɪ ɑː j ə
'asetayaayataacawe|ˈæ s ɪ t ˌeɪ ɑː j ˌæ ɾ ɑː k ˌɔː
'asetayaayate|ˈæ s ɪ t ˌeɪ ɑː j ˌeɪ t
'asetayaayatoce|ˈæ s ɪ t ˌeɪ ɑː j ˌæ ɾ oʊ s
'asetazaazaabi|ˈæ s ɪ t ˌæ z ɑː z ˌɑː b aɪ
'asetha|æ s ˈɛ θ ə
'asethanaqaqa|ˌæ s ɪ θ ˌæ n ɐ k ˈɑː k ə
'asetone|ˈæ s ɪ t ˌoʊ n
'asetonevilaa|ˈæ s ɪ t ˌoʊ n v ɪ l ˌɑː
'asetsayaafi|ˈæ s ɪ t s ˌeɪ ɑː f i
'asewatheta|ˈæ s w ə t h ˌɛ ɾ ə
'ashaa|ɐ ʃ ˈɑː
'ashabaarinate|ɐ ʃ ɐ b ˈɑːɹ ɹ ᵻ n ˌeɪ t
'ashabaariwoce|ɐ ʃ ɐ b ˈɑːɹ ɹ ˈiː w oʊ s
'ashana|ɐ ʃ ˈɑː n ə
'ashanaafi|ɐ ʃ ˈæ n ɑː f i
'ashanaafinate|ɐ ʃ ɐ n ˈɑː f ᵻ n ˌeɪ t
'ashanaafiwoce|ɐ ʃ ˌæ n ɑː f ˈiː w oʊ s
'ashanafu|ɐ ʃ ɐ n ˈɑː f uː
'ashane|ɐ ʃ ˈeɪ n
'ashanefa|ɐ ʃ ˈeɪ n f ə
'ashanefo|ɐ ʃ ɐ n ˈiː f oʊ
'ashawaa|ɐ ʃ ˈæ w ɑː
'ashemu|ˈæ ʃ ɪ m ˌuː
'ashemuranyaa|ˈæ ʃ ɪ m j ˌʊɹ ɹ ɐ n ɪ  ˌɑː
'ashemwa|ˈæ ʃ ɛ m w ə
'asheshe|æ ʃ ˈɛ ʃ
'asinebaa|ˈæ s aɪ n b ˌɑː
'association|ɐ s ˌoʊ s ɪ  ˈeɪ ʃ ə n
'asunekaa'o|ɐ s ˈʌ n ɪ k ˌɑː oʊ
'at|ˈæ t
'ataa|ˈæ ɾ ɑː
'ataalo|æ t ˈɑː l oʊ
'ataanekwaakwi|ˈæ t ɑː n ˌɛ k w ɑː k w i
'ataaneqwaaqi|ˈæ t ɑː n ˌɛ k w ɑː k i
'ataashee|ˈæ ɾ ɑː ʃ ˌiː
'ataaweqeme|ˈæ ɾ ɑː w ˌɛ k iː m
'ataawequme|ˈæ ɾ ɑː w ˌɛ k w ə m
'atare|ˈæ ɾ ɛɹ
'atcems|ˈæ t s ə m z
'ate|ˈeɪ t
'ateenesu|ˌæ t iː n ˈɛ s uː
'atekeletoce|ˈeɪ t k ɪ l ˌɛ ɾ oʊ s
'atelaanetaa|ˈeɪ t l ɑː n ˌɛ ɾ ɑː
'atelee|ˈeɪ t l iː
'ateleete|ˈeɪ t l iː t
'ateleetikese|ˌeɪ t l iː ɾ aɪ k ˈiː z
'ateleetocaacene|ˈeɪ t l iː t ˌɑː k ɑː s ˌiː n
'ateleetoce|ˈeɪ t l iː t ˌoʊ s
'ateleetu|ˈeɪ t l iː t ˌuː
'ateresu|ˌæ ɾ ɚ ɹ ˈɛ s uː
'atha|ˈæ θ ə
'athaa|ˈæ θ ɑː
'athaari|æ θ ˈɑːɹ ɹ i
'athaathe|ˈæ θ ɑː ð
'athaathelaa|ˈæ θ ɑː θ ˌɛ l ɑː
'athafu|æ θ ˈɑː f uː
'athagabe|ˈæ θ ɐ ɡ ˌeɪ b
'athanaa|ˈæ θ ɐ n ˌɑː
'athanaaqe|ˈæ θ ɐ n ˌɑː k
'athaqaa|ˈæ θ ɐ k ˌɑː
'athaqaalaaye|ˈæ θ ɐ k ˌɑː l ɑː ˌaɪ
'athaqaaqamu|ˌæ θ ɐ k ɑː k ˈɑː m uː
'atharaathaari|ˌæ θ ɐ ɹ ɑː θ ˈɑːɹ ɹ i
'athayaayaaqi|ˈæ θ eɪ ˌɑː j ɑː k i
'athe|ˈeɪ ð
'athebe|ˈæ θ ɛ b
'athenaafu|ˈæ θ ə n ˌɑː f uː
'athenete|ˈæ θ ə n ˌiː t
'atheqi|ˈæ θ ɛ k i
'atheqiwe|ˈæ θ ɪ k ˌɪ w
'atheru|ˈæ θ ɚ ɹ ˌuː
'athetawe|ˈæ θ ɪ t ˌɔː
'athu|ˈæ θ uː
'ato|ˈɑː ɾ oʊ
'atsede|ˈæ t s ɛ d
'atsedeqawe|ˈæ t s ɪ d ˌɛ k ɔː
'atsee|ˈæ t s iː
'atseme|ˈæ t s iː m
'atsenaa|ˈæ t s ə n ˌɑː
'attacked|ɐ t ˈæ k t
'audition'|ɔː d ˈɪ ʃ ə n
'authorities|ɐ θ ˈɔː ɹ ɪ ɾ i z
'ave|ˈɑː v eɪ
'avtomat'|ˈæ v t ə m ˌæ t
'awa|ɐ w ˈæ
'awaaje|ɐ w ˈɑː dʒ
'awaajoce|ɐ w ˈɑː dʒ oʊ s
'awaaju|ɐ w ˈɑː dʒ uː
'awaaqe|ɐ w ˈɑː k
'awaaqi|ɐ w ˈɑː k i
'awaaqiwoce|ɐ w ɑː k ˈiː w oʊ s
'awaaraa|ɐ w ˈɑːɹ ɹ ɑː
'awaasaa|ɐ w ˈɑː s ɑː
'awaashe|ɐ w ˈɑː ʃ
'awaathe|ɐ w ˈɑː ð
'awadaa|ɐ w ˈɑː d ɑː
'awadaadaqe|ɐ w ˈɑː d ɑː d ˌeɪ k
'awaqe|ɐ w ˈeɪ k
'awaqu|ɐ w ˈɑː k
'awathaa|ɐ w ˈɑː t h ɑː
'aweche|ˈɔː tʃ
'awechi|ˈɔː tʃ aɪ
'aweda|ˈɔː d ə
'awegaazhwa|ˈɔː ɡ ɑː ʒ w ə
'awege|ˈɔː dʒ
'awejwale|ˈɔː dʒ w eɪ l
'aweqa|ˈɔː k ə
'aweqaa|ˈɔː k ɑː
'aweqaalahu|ˌɔː k ɑː l ˈɑː h uː
'aweraajaa|ˈɔː ɹ ɑː dʒ ˌɑː
'aweropaa|ˈɔː ɹ ə p ˌɑː
'aweropaaweyaane|ˈɔː ɹ ə p ˌɑː w aɪ  ˌɑː n
'aweropelaane|ˈɔː ɹ oʊ p l ˌɑː n
'aweropelaanoce|ˈɔː ɹ oʊ p l ˌɑː n oʊ s
'aweropelaanocu|ˈɔː ɹ oʊ p l ˌɑː n ə k ˌuː
'aweropelaanu|ˈɔː ɹ oʊ p l ˌɑː n uː
'aweropelaanwa|ˈɔː ɹ oʊ p l ˌɑː n w ə
'awerophaa|ˈɔː ɹ ə f ˌɑː
'awese|ˈɔː s
'aweseteraaliyaa|ˈɔː s ɪ ɾ ɚ ɹ ˌɑː l ɪ j ˌɑː
'awetaaroce|ɔː t ˈɑːɹ ɹ oʊ s
'awethe|ˈɔː ð
'awethetawe|ˈɔː θ ɪ t ˌɔː
'awetheto|ɔː θ ˈiː ɾ oʊ
'awethu|ˈɔː θ uː
'awetobese|ˌɔː ɾ oʊ b ˈiː z
'awetomaatike|ˈɔː ɾ ə m ˌɑː ɾ aɪ k
'awo|ˈæ w oʊ
'awonetaawi|ˈæ w ə n ˌɛ ɾ ɑː w i
'ayaa|ˈaɪ  ɑː
'ayaadere|ˈaɪ  ɑː d ˌɪɹ
'ayaagabaa|ˈaɪ  ɑː ɡ ˌæ b ɑː
'ayaaganyu|ˈaɪ  ɑː ɡ ˌæ n ɪ  ˌuː
'ayaalee|ˈaɪ  ɑː l ˌiː
'ayaaleewe|ˈaɪ  ɑː l ˌiː w
'ayaalefu|ˈaɪ  ɑː l ˌɛ f uː
'ayaasaa|ˈaɪ  ɑː s ˌɑː
'ayaase|ˈaɪ  ɑː s
'ayaasedane|ˈaɪ  ɑː s ˌɛ d eɪ n
'ayaatu|ˈaɪ  ɑː t ˌuː
'ayaaweqeme|ˈaɪ  ɑː w ˌɛ k iː m
'ayaawequ|ˈaɪ  ɑː w ˌɛ k
'ayaayaazaa|ˈaɪ  ɑː j ˌɑː z ɑː
'ayaayaazhwa|ˈaɪ  ɑː j ˌɑː ʒ w ə
'ayaayezawe|ˈaɪ  ɑː j ˌɛ z ɔː
'ayaayezo|ˌaɪ  ɑː j ˈiː z oʊ
'ayare|ˈaɪ ɛɹ
'ayarelaanede|ˈaɪ ɛɹ l ˌɑː n ɛ d
'aye|ˈaɪ
'ayecaale|ˈaɪ ɪ k ˌɑː l
'ayecee|ˈaɪ ɪ s ˌiː
'ayeceleme|ˈaɪ ɪ s ˌɛ l iː m
'ayedalace|ˈaɪ ɪ d ˌæ l ɪ s
'ayedalame|ˈaɪ ɪ d ˌæ l eɪ m
'ayedale|ˈaɪ ɪ d ˌeɪ l
'ayedalume|ˈaɪ ɪ d ˌæ l uː m
'ayedide|ˈaɪ ɪ d ˌaɪ d
'ayegabaa|ˈaɪ ɪ ɡ ˌæ b ɑː
'ayegabaame|ˈaɪ ɪ ɡ ˌæ b ɑː m
'ayegataa|ˈaɪ ɪ ɡ ˌæ ɾ ɑː
'ayegazaa|ˈaɪ ɪ ɡ ˌæ z ɑː
'ayegazu|ˌaɪ ɪ ɡ ˈɑː z uː
'ayehudoce|ˈaɪ ɪ h j ˌuː d oʊ s
'ayemase|ˈaɪ ɪ m ˌeɪ s
'ayemasele|ˈaɪ ɪ m ˌeɪ s əl
'ayemero|ˌaɪ ɪ m ˈɛ ɹ oʊ
'ayenaacawe|ˈaɪ ə n ˌɑː k ɔː
'ayenaacene|ˈaɪ ə n ˌɑː s iː n
'ayenate|ˈaɪ ə n ˌeɪ t
'ayeneshe|ˌaɪ ə n ˈɛ ʃ
'ayeno|aɪ ˈiː n oʊ
'ayenocu|ˈaɪ ə n ˌɑː k uː
'ayenu|ˈaɪ ə n ˌuː
'ayeqaree|ˈaɪ ɪ k ˌæ ɹ iː
'ayesamaa|ˈaɪ ɪ s ˌæ m ɑː
'ayethabaqe|ˈaɪ ɪ θ ˌæ b eɪ k
'ayeto|aɪ ˈiː ɾ oʊ
'ayevorikose|ˈaɪ ɪ v ˌoː ɹ ɪ k ˌoʊ s
'ayewadu|aɪ w ˈɑː d uː
'ayewase|ˈaɪ w eɪ s
'ayezo|aɪ ˈiː z oʊ
'ayu|ˈaɪ uː
'azaawenete|ˈæ z ɑː w ˌɛ n iː t
'azaazhe|ˈæ z ɑː ʒ
'azaazhoce|ˈæ z ɑː ʒ ˌoʊ s
'azaazhu|æ z ˈɑː ʒ uː
'azaga|æ z ˈɑː ɡ ə
'azagaaje|ˈæ z ɐ ɡ ˌɑː dʒ
'azale|ˈæ z eɪ l
'azawaawaari|ˌæ z ɐ w ɑː w ˈɑːɹ ɹ i
'azawete|ˈæ z ɔː t
'azaza|æ z ˈɑː z ə
'aze|ˈeɪ z
'azegaami|ˈeɪ z ɡ ɑː m i
'azena|ˈeɪ z n ə
'azenaanye|ˈeɪ z n ɑː n ˌaɪ
'azo|ˈɑː z oʊ
'b'|b ˈiː
'babies|b ˈeɪ b i z
'baby|b ˈeɪ b i
'back|b ˈæ k
'bad'|b ˈæ d
'bambai|b æ m b ˈaɪ
'baskets'|b ˈæ s k ɪ t s
'be|b ˈiː
'beautiful|b j ˈuː ɾ i f əl
'because|b ɪ k ˈʌ z
'behave|b ᵻ h ˈeɪ v
'best|b ˈɛ s t
'beyond|b ᵻ j ˈɔ n d
'bhovamania'|b ˌɑː v ɐ m ˈeɪ n iə
'big|b ˈɪ ɡ
'biofeedback|b ˌaɪ oʊ f ˈiː d b æ k
'black|b l ˈæ k
'blm'|b ˌiː  ˌɛ l ˈɛ m
'bloede|b l ˈoʊ d
'blu|b l ˈuː
'blue|b l ˈuː
'bobol|b ˈɑː b ɑː l
'bollywood|b ˈɑː l i w ˌʊ d
'boobs|b ˈuː b z
'booze|b ˈuː z
'bot|b ˈɑː t
'bots|b ˈɑː t s
'bout|b ˈaʊ t
'brave'|b ɹ ˈeɪ v
'break|b ɹ ˈeɪ k
'bring|b ɹ ˈɪ ŋ
'britannia|b ɹ ɪ t ˈæ n iə
'bully'|b ˈʊ l i
'bunny'|b ˈʌ n i
'bunty|b ˈʌ n t i
'business'|b ˈɪ z n ə s
'but|b ˈʌ t
'c'mon|k ə m ˈɑː n
'caldos|k ˈɔ l d oʊ z
'cannot|k æ n ˈɑː t
'captain|k ˈæ p t ɪ n
'card|k ˈɑːɹ d
'care'|k ˈɛɹ
'cat|k ˈæ t
'cause|k ˈɔː z
'cautious|k ˈɔː ʃ ə s
'censorship'|s ˈɛ n s ɚ ʃ ˌɪ p
'cept|s ˈɛ p t
'cha|tʃ ˈɑː
'chamura'|tʃ æ m j ˈʊɹ ɹ ə
'changed|tʃ ˈeɪ n dʒ d
'charlie|tʃ ˈɑːɹ l i
'cheer'|tʃ ˈɪɹ
'chess|tʃ ˈɛ s
'choppy'|tʃ ˈɑː p i
'chup|tʃ ˈʌ p
'city|s ˈɪ ɾ i
'class|k l ˈæ s
'classified|k l ˈæ s ᵻ f ˌaɪ d
'classy'|k l ˈæ s i
'clean|k l ˈiː n
'clerical|k l ˈɛ ɹ ɪ k əl
'clever'|k l ˈɛ v ɚ
'club|k l ˈʌ b
'clubs|k l ˈʌ b z
'coker'|k ˈoʊ k ɚ
'color|k ˈʌ l ɚ
'colour|k ˈʌ l ɚ
'colovia|k ə l ˈʌ v iə
'come|k ˈʌ m
'coming|k ˈʌ m ɪ ŋ
'companion'|k ə m p ˈæ n iə n
'compelling|k ə m p ˈɛ l ɪ ŋ
'complicit'|k ə m p l ˈɪ s ɪ t
'comrade|k ˈɑː m ɹ æ d
'confident|k ˈɑː n f ɪ d ə n t
'confirmation|k ɑː n f ɚ m ˈeɪ ʃ ə n
'constant|k ˈɑː n s t ə n t
'constantly|k ˈɑː n s t ə n t l i
'copied|k ˈɑː p ɪ d
'corona'|k ɔː ɹ ˈoʊ n ə
'coronavirus|k ˈɔː ɹ ə n ˌæ v aɪ ɹ ə s
'corpse|k ˈɔːɹ p s
'costumes'|k ˈɔ s t uː m z
'could|k ˈʊ d
'couldn't|k ˈʊ d ə n t
'course|k ˈoːɹ s
'cowboy|k ˈaʊ b ɔɪ
'creep|k ɹ ˈiː p
'criminal|k ɹ ˈɪ m ɪ n əl
'cross|k ɹ ˈɔ s
'cruelly'|k ɹ ˈuː ə l i
'cruise|k ɹ ˈuː z
'culture|k ˈʌ l tʃ ɚ
'curb|k ˈɜː b
'cure'|k j ˈʊɹ
'cured'|k j ˈʊɹ d
'currency|k ˈɜː ɹ ə n s i
'cus|k ˈʌ s
'd|d ˈiː
'd'|d ˈiː
'd've|d ə v ˈiː
'da|d ˈɑː
'dad|d ˈæ d
'daddy|d ˈæ d i
'dadi'|d ˈæ d i
'dance|d ˈæ n s
'dancing|d ˈæ n s ɪ ŋ
'dangerous|d ˈeɪ n dʒ ɚ ɹ ə s
'dark|d ˈɑːɹ k
'de|d ˈə
'dean'|d ˈiː n
'dear|d ˈɪɹ
'decarbonisation|d ᵻ k ˌɑːɹ b ə n ə z ˈeɪ ʃ ə n
'deep|d ˈiː p
'defund|d ᵻ f ˈʌ n d
'delicious'|d ᵻ l ˈɪ ʃ ə s
'delighted'|d ᵻ l ˈaɪ ɾ ᵻ d
'deliverance'|d ᵻ l ˈɪ v ɚ ɹ ə n s
'democrats|d ˈɛ m ə k ɹ ˌæ t s
'democrats'|d ˈɛ m ə k ɹ ˌæ t s
'den|d ˈɛ n
'deol'|d iː  ˈɑː l
'deserved'|d ɪ z ˈɜː v d
'deserves|d ɪ z ˈɜː v z
'devastated'|d ˈɛ v ᵻ s t ˌeɪ ɾ ᵻ d
'dials'|d ˈaɪə l z
'diamond|d ˈaɪə m ə n d
'dictator'|d ɪ k t ˈeɪ ɾ ɚ
'did|d ˈɪ d
'didn't|d ˈɪ d n t
'died|d ˈaɪ d
'digital|d ˈɪ dʒ ɪ ɾ əl
